"RTL_STORE_CD","RTL_FIPS_COUNTY_DSC","RTL_PREMISE_TYPE_CD","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_DSC","RTL_BEER_FLAG","RTL_LIQUOR_FLG"
"101856127","GRAND","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101948415","GARFIELD","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"105604679","CACHE","ON","DINING","CASUAL DINING","Y","Y"
"100437548","SALT LAKE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101943195","SALT LAKE","OFF","EXTENDED MASTER OFF-PREMISE","OTHER OFF-PREMISE","N","N"
"101937448","UINTAH","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100526134","SANPETE","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"101415026","SUMMIT","OFF","LIQUOR","CONVENTIONAL LIQUOR","Y","Y"
"101673103","SALT LAKE","ON","RECREATION","BILLIARD/BOWLING/ARCADE","Y","N"
"100112100","SALT LAKE","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"107165855","WEBER","ON","DINING","CASUAL DINING","Y","Y"
"107068941","WEBER","ON","BAR/NIGHTCLUB","SPORTS BAR","Y","Y"
"102098485","SALT LAKE","OFF","EXTENDED MASTER OFF-PREMISE","ETHNIC MARKETS","N","N"
"100482373","DAVIS","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"101692819","SALT LAKE","ON","DINING","CASUAL DINING","Y","Y"
"100330325","CARBON","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"102519519","UTAH","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"205616099","BOX ELDER","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"100434269","SALT LAKE","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"100649413","DAVIS","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"105626572","SALT LAKE","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"100685693","JUAB","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"301647685","CACHE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"201690436","SALT LAKE","ON","BAR/NIGHTCLUB","COUNTRY WESTERN","Y","Y"
"100657236","WASHINGTON","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101916808","SUMMIT","OFF","GROCERY","SUPERETTE","Y","N"
"100644067","WEBER","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"101692174","SALT LAKE","ON","DINING","CASUAL DINING","Y","Y"
"101497396","DAVIS","OFF","DRUG","CONVENTIONAL DRUG","Y","N"
"100301218","UINTAH","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"100447919","SALT LAKE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"102244483","CARBON","ON","DINING","FAST CASUAL","Y","N"
"101958190","KANE","ON","DINING","FAST CASUAL","Y","N"
"102519973","SALT LAKE","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"107349988","WEBER","OFF","GROCERY","SUPERCENTER","Y","N"
"107308752","UTAH","ON","LODGING","FULL SERVICE LODGING","Y","Y"
"107339638","WASHINGTON","ON","DINING","FAST CASUAL","Y","N"
"200112410","SEVIER","OFF","GROCERY","SUPERMARKET-CONVENTIONAL","Y","N"
"107415139","UTAH","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"301612392","SALT LAKE","OFF","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","Y","N"
"107423527","UTAH","ON","DINING","CASUAL DINING","Y","N"
"205619150","DAVIS","ON","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","Y","Y"
"305626710","CARBON","ON","RECREATION","PRIVATE CLUB","Y","Y"
"203612081","KANE","ON","DINING","CASUAL DINING","Y","Y"
